in_combinations_such_as_coffee_bar_juice_bar_etc,1
real_tennis,1
considered_collectively,1
international_relations,1
translation_studies,1
sussex,1
furniture,1
criminal_justice_law_and_underworld,1
computer_keyboards,1
rail_ticket_leather_belt_etc,1
contact_juggling,1
courses,1
whist,1
some_sports,1
machining,1
or_technical,1
cinema_or_theater_special_effects,1
earth_science,1
personal_or_social,1
color,1
vexillology,1
refining,1
computer_program,1
gay_slang,1
weapon,1
negative,1
theatrical_performance,1
team_sports,1
early_20th_century,1
toys,1
disease,1
race,1
war,1
parts_of_northern_england,1
windows,1
pharmaceuticals,1
risk_management,1
watchmaking,1
colour,1
hotels,1
israel,1
except_in_fixed_expressions,1
international_trade,1
said_of,1
thermodynamics,1
sound_engineering,1
1960s,1
now_only_in_phrases,1
winemaking,1
ufology,1
non_westminster,1
bar_tending,1
palmistry,1
kantian,1
non_standard,1
used_of_either_gender,1
irish,1
appalachians,1
compare_rub,1
cockney,1
rock__n__roll,1
lebanon,1
collectible_card_games,1
see_also_sense_11,1
texas_hold_em,1
footwear,1
scouting,1
film_editing,1
software_engineering_jargon,1
liberia,1
brass_founding,1
north_american_itinerant_and_street_populations,1
sometimes_abbreviated_pan_to_distinguish_it_from_proto_algic_but_usually_just_abbreviated_pa_with_proto_algic_being_abbreviated_pac,1
nasa,1
aerial_warfare,1
marine_insurance,1
political_science,1
inorganic_compound,1
homeopathy,1
calico_printing,1
coastal_new_jersey,1
orthodontics,1
machine_learning,1
navy,1
dice,1
intensifier,1
hat_making,1
leather_manufacture,1
jordan,1
group_theory,1
woodwork,1
african_american_vernacular,1
1980s,1
england,1
glassmaking,1
air_travel,1
filmology,1
formal,1
complex_analysis,1
climatology,1
fibre,1
equestrianism,1
see_also_pot_and_middy_for_other_regional_variations,1
certain_commonwealth_countries,1
baby_to_sleep,1
motor_vehicles_or_aircraft_slang,1
mostly_uncountable,1
reading_frame,1
database,1
plural_mediums_or_media,1
hospitality,1
definite_article,1
rock_climbing,1
except_in_egg_on,1
london_stock_exchange,1
and_other_commonwealth_countries,1
plural_leads,1
tasting,1
mostly_in_form_nutting,1
microscopy,1
and_other_batting_sports,1
also_final_curtain,1
units_of_measurement,1
parliament,1
now_uncommon,1
demography,1
shoemaking,1
mainly_commonwealth,1
ai,1
ulster,1
geocaching,1
information_theory,1
south_asia,1
ethnicity,1
scottish_history,1
19th_to_early_20th_century,1
photometry,1
line_up,1
communications,1
associated_with_acorn_computers,1
farming,1
sled_in_this_sense_is_not_pulled_by_animal_as_sleigh_is,1
computer_languages,1
gun_mechanisms,1
c_1555,1
quarrying,1
sex,1
buddhism,1
insurance_law,1
mechanical_engineering,1
westminster_system,1
language,1
computer_engineering,1
metal_typesetting,1
reckoning_of_moneys_received_and_paid,1
space_sciences,1
computational_linguistics,1
heating,1
material_science,1
topography,1
elementary_school_usage_particularly_kindergarten_and_primary_grades,1
lake_superior,1
plural_media_or_mediums,1
midlands,1
Italy,1
call_routing,1
vocal,1
Scotland,1
netball,1
painting_and_gilding,1
marijuana_smoking,1
gerund_of_play,1
plural_only_vacuums,1
metonymically,1
historic,1
asia,1
old_fashioned,1
british_columbia,1
material,1
now_followed_by_out_as_in_set_out,1
motion_pictures,1
but_used_with_singular_verb,1
automotive_engineering,1
arachnology,1
tempering,1
stochastic_processes,1
underwater_diving,1
oxford_university,1
water_polo,1
other_competitions,1
less_common_than_masculine,1
computer_technology,1
whimsical,1
dvd_etc,1
victoria,1
wagering,1
hiphop,1
nearly_always_singular,1
firearm,1
biological,1
acting,1
trading,1
nursing_education,1
drones,1
telegraphy,1
bowls,1
literature,1
case_law,1
coal_mining,1
immigration,1
nigeria,1
trading_card_games,1
frequently_followed_by_off,1
called_sixty_in_canada,1
health,1
radiography,1
paganism,1
machine,1
camogie,1
law_student_slang,1
mail,1
polari,1
scientology,1
artificial_intelligence,1
potentially_offensive,1
used_mostly_of_males,1
duplicate_bridge,1
rural_us,1
manga,1
british_army,1
pyrometallurgy,1
piloting,1
brane_cosmology,1
antarctica,1
audio_effects,1
hook_fish,1
hinduism,1
nudism,1
incoterm,1
mostly_in_plural,1
boating,1
storage,1
handicraft,1
sometimes_with_for,1
lutherie,1
also_used_attributively_to_describe_things_which_are_used_for_sale_of_drugs_e.g_trap_phone_trap_car,1
smoking,1
swimming_and_track,1
retailing,1
contrast_streak,1
signalling,1
obsolete_except_in_one_sense_of_phrase_on_top_of,1
technic,1
microsoft_windows,1
indian_english,1
West,1
narratology,1
iemand_den_zak_geven,1
behavioural,1
from_horn_shaped_earpieces_of_old_communication_systems_that_used_air_tubes,1
high_school,1
plural_often_stand,1
band_of_thieves,1
not_preceded_by_article,1
forming_compound,1
spiritualism,1
direct_marketing,1
calculus,1
fuzzy_set_theory,1
data_communications,1
amusement_rides,1
though_this_is_more_commonly_shortened_to_kay,1
alcohol,1
south_england,1
bsd,1
thieves_slang,1
now_usually,1
used_by_ethernet_network_to_detect_when_two_computers_are_sending_frames_at_same_time_and_also_to_deal_with_such_collisions_when_they_happen,1
web_design,1
motor,1
erotica,1
comics,1
freestyle_skiing,1
hypocoristic,1
christian,1
proof_theory,1
galaxy,1
star,1
syria,1
brokers_slang,1
drilling,1
sometimes_with_out,1
guernsey,1
bureaucracy,1
nuclear_industry,1
estimating_and_purchasing,1
tv,1
sematics,1
sexuality,1
except_in_dialects,1
land_surveying,1
grand_strategy,1
file_sharing,1
also_old_salt,1
sometimes_abbreviated_pac_to_distinguish_it_from_proto_algonquian,1
except_in_derivatives,1
metonymic,1
optometry,1
organism,1
mle,1
degree,1
southern_california,1
culinary,1
social_media,1
plural_in_form,1
sign_languages,1
auction,1
epidemiology,1
fandom,1
gas,1
order_and_arrangement,1
western_us,1
academic_writing,1
horse_riding,1
dated_in_us,1
kinematics,1
functional_analysis,1
from_when_there_were_only_two_channels,1
including_cebu,1
mostly_in_negative_constructions,1
railroads,1
australian_and_indian_english,1
equestrian,1
governmental_jargon_united_states,1
herpetology,1
spaceflight,1
folklore,1
more_often_called_liquorice_stick,1
roman_catholic_church,1
United_States,1
except_in_compounds,1
used_with_following_adjectives,1
intranstive,1
numismatics,1
landscaping,1
books,1
short_for_hairpiece,1
also_spelled_parr,1
used_with_following_adjective,1
extension,1
interior_decorating,1
racing,1
piece_of_absorbent_material,1
uk_parliament,1
seismology,1
broadcast_medium,1
tools,1
and_especially_in_phrase_on_roll,1
pictures,1
traditional_irish_music_and,1
greek_mythology,1
variously_expressing_familiarity_admiration_or_hostility,1
cambridge_university_slang,1
ethology,1
entertainment_industry,1
feudal_law,1
including_ohio,1
railroad,1
usually_in_passive,1
patch_cable_patch_cord_etc_see_also_patch_panel,1
christian_science,1
model_theory,1
criminal_law,1
mostly_local_usage,1
indian,1
elsewhere_metre,1
sound,1
wool_manufacture,1
space,1
sales,1
drug,1
coarse,1
only,1
html,1
cigar_industry,1
computer_networking,1
coppersmithing,1
vulgar_slang,1
within_machine_or_machinery,1
Japan,1
typesetting,1
space_science,1
American_football,1
currying,1
telegraphy_and_radio_telegraphy,1
english_law,1
plural_stone,1
person,1
gay_sexuality,1
sociology,1
riding,1
drama,1
motor_vehicle,1
terrorism,1
also_used_without_hyphen_as_adjective_see_trans,1
also_used_figuratively,1
electricity_supply,1
lichenology,1
cartomancy,1
criminology,1
polo,1
marine_biology,1
court_game,1
modal_auxiliary_verb_defective,1
